Close,ClassificationValue
36.630001,-1
36.720001,1
36.610001,1
36.439999,-1
36.959999,1
36.959999,1
36.459999,-1
36.75,-1
37.080002,-1
37.150002,1
36.889999,1
36.889999,1
36.77,-1
36.84,-1
36.889999,1
36.849998,1
36.82,1
36.619999,1
36.57,-1
36.759998,-1
36.830002,-1
37.150002,-1
37.290001,-1
37.52,1
37.279999,1
36.580002,1
36.220001,-1
36.450001,1
35.82,1
34.959999,-1
35.709999,-1
35.98,-1
36.119999,-1
36.18,1
35.950001,-1
36.169998,-1
36.639999,-1
36.93,-1
36.959999,1
36.830002,-1
36.849998,1
36.52,-1
36.580002,-1
36.950001,1
36.830002,-1
36.98,-1
37.169998,-1
37.34,-1
37.439999,-1
37.66,-1
37.709999,-1
37.790001,-1
37.959999,-1
38.27,1
38.220001,-1
38.279999,-1
38.32,1
38.009998,-1
38.110001,-1
38.310001,1
38.110001,1
37.68,-1
37.959999,-1
38.040001,1
37.700001,1
37.639999,-1
37.82,-1
37.889999,-1
37.93,1
37.849998,1
37.419998,1
37.200001,-1
37.439999,1
37.02,1
36.970001,-1
37.279999,-1
37.490002,-1
37.740002,1
37.48,1
37.459999,-1
37.599998,-1
37.849998,-1
37.93,1
37.91,-1
37.959999,-1
38.009998,-1
38.369999,-1
39.689999,-1
39.959999,1
39.220001,1
39.009998,-1
39.25,-1
39.619999,-1
39.669998,-1
39.889999,-1
39.959999,-1
40.099998,-1
40.139999,-1
40.509998,-1
40.599998,-1
40.75,-1
40.959999,-1
40.990002,1
40.77,-1
40.790001,-1
41.029999,-1
41.189999,-1
41.689999,-1
43.18,1
42.580002,-1
42.639999,-1
42.75,1
42.75,1
42.240002,-1
42.25,-1
42.400002,1
42.360001,1
42.099998,-1
42.23,-1
42.639999,-1
43.0,-1
43.48,-1
43.580002,-1
43.759998,1
43.5,-1
43.52,1
42.93,-1
43.029999,-1
43.09,1
42.360001,-1
42.560001,1
42.310001,1
41.75,1
41.740002,-1
42.130001,-1
42.209999,1
42.169998,1
41.860001,-1
41.900002,1
41.84,-1
42.02,1
41.98,-1
42.549999,-1
42.610001,-1
42.799999,-1
42.990002,1
42.959999,1
42.919998,-1
43.18,-1
43.369999,-1
43.599998,-1
43.860001,1
43.849998,-1
43.880001,-1
43.889999,-1
44.189999,-1
44.799999,-1
44.990002,1
44.75,-1
45.09,-1
45.16,1
45.130001,-1
45.389999,1
45.389999,-1
45.630001,1
42.610001,-1
43.580002,-1
44.310001,1
44.029999,1
43.669998,1
42.490002,-1
42.82,-1
42.990002,1
42.700001,1
42.380001,1
41.150002,1
40.799999,-1
41.52,1
41.389999,1
41.220001,-1
41.349998,-1
41.650002,-1
42.07,-1
42.59,1
42.59,-1
42.91,1
42.630001,1
42.290001,-1
42.34,-1
42.369999,1
42.34,1
42.279999,-1
42.349998,-1
43.240002,-1
43.959999,-1
44.150002,-1
44.610001,-1
44.720001,-1
45.240002,-1
46.41,1
46.209999,1
45.91,1
45.59,1
45.540001,1
45.220001,-1
45.66,-1
45.720001,1
45.68,1
45.380001,-1
45.560001,1
45.509998,1
45.349998,-1
45.439999,-1
45.700001,1
45.700001,1
45.549999,-1
45.82,-1
45.889999,1
45.419998,-1
45.450001,1
45.07,1
45.060001,-1
45.130001,1
45.02,1
44.950001,-1
45.84,1
45.41,-1
45.5,1
45.220001,1
45.049999,-1
45.150002,-1
45.48,1
45.16,1
45.0,1
44.950001,-1
45.139999,1
44.509998,1
44.16,-1
44.380001,-1
44.75,1
44.669998,1
44.139999,-1
44.470001,1
44.169998,1
43.720001,1
43.220001,1
43.110001,-1
43.650002,-1
43.720001,1
43.459999,1
43.349998,-1
43.5,-1
43.82,-1
44.029999,-1
44.220001,-1
44.779999,-1
44.810001,1
44.599998,1
44.16,1
43.66,1
43.639999,1
43.580002,1
43.419998,-1
44.040001,1
43.82,-1
44.52,1
44.450001,-1
44.560001,-1
44.950001,-1
45.32,1
45.27,-1
45.43,1
45.34,-1
45.540001,-1
45.810001,-1
46.060001,1
46.040001,1
46.009998,-1
46.119999,-1
46.700001,-1
47.130001,1
47.060001,-1
47.529999,-1
47.990002,-1
48.139999,-1
48.59,-1
48.869999,1
48.23,-1
48.720001,-1
48.830002,1
48.619999,1
48.25,-1
48.509998,1
48.48,-1
48.700001,1
48.529999,-1
48.799999,1
48.57,-1
